Method,ReLU,Local LT,Local LT Head,Local,Local Head
Naive,19.96,19.96,19.98,19.96,20.27
LwF,33.05,NA,NA,27.14,33.90
EWC,22.66,19.96,27.01,20.30,35.30
SI,26.96,19.94,28.57,19.73,31.04
MAS,27.73,20.04,47.61,20.98,25.99
