Method,ReLU,Local LT,Local LT Head,Local,Local Head
Naive,19.94,19.87,20.51,19.85,19.94
LwF,40.26,NA,NA,19.86,24.92
EWC,23.45,19.90,27.79,20.04,31.47
SI,21.95,19.57,20.23,20.00,24.96
MAS,31.27,19.72,33.53,19.84,22.23
