Method,ReLU,Local LT,Local LT Head,Local,Local Head
Naive,18.46,18.34,18.43,18.12,18.42
LwF,25.03,NA,NA,19.13,24.51
EWC,18.31,18.53,18.32,18.25,19.85
SI,23.14,17.56,16.62,16.43,21.31
MAS,19.89,18.12,16.79,18.11,19.59
